source	time	person	location	organization	miscellaneous
emptywheel	2013-07-30T00:00:00	swartzQ|kevin poulsenQ|vassar streetQ|aaron swartz	bostonQ|harvard squareQ|massachusetts avenueQ|massachusettsQ|cambridge	task forceQ|u.s. secret serviceQ|general counselQ|buildingQ|cambridge police departmentQ|is & tQ|secret service agentQ|mitQ|secret serviceQ|mit policeQ|boston police departmentQ|ogcQ|new england electronic crimes task forceQ|wired	stata
emptywheel	2013-07-29T00:00:00	samantha powersQ|castelliQ|tyler drumhellerQ|stephen kappesQ|englehardtQ|eric holderQ|mustapha hassan nasrQ|nasrQ|jeff castelliQ|hillary clintonQ|george w. bushQ|abu omarQ|robert seldon ladyQ|edward snowdenQ|james pavittQ|sabrina de sousaQ|riceQ|john rizzoQ|tom englehardtQ|de sousaQ|assuming de sousaQ|jose rodriguezQ|don'Q|lady	tehranQ|milanQ|commanderQ|iraq warQ|moscowQ|italyQ|beijingQ|nigerQ|chief	cia's counterterrorism centerQ|global warQ|ciaQ|house and senateQ|tenetQ|ξQ|station chief	europeanQ|italianQ|italians
emptywheel	2013-07-29T00:00:00	bashar al-assadQ|hoss cartwrightQ|barbara starrQ|bill gertzQ|ashton carterQ|michael gordonQ|gertz	iranQ|russiaQ|latakiaQ|israelQ|syria	pentagonQ|cnn	russian-madeQ|israelisQ|israeliQ|iranianQ|russian-made yakhontQ|yakhont
emptywheel	2013-07-29T00:00:00	jonathan landayQ|hagerQ|colemanQ|also mondayQ|jon stephensonQ|jonathan colemanQ|hamid karzaiQ|john keyQ|tim keatingQ|stephensonQ|edward snowdenQ|landay	kabulQ|afghanistanQ|new zealand	talibanQ|foreign intelligence surveillance courtQ|departmentQ|nzsisQ|new zealand defence forceQ|mcclatchyQ|isafQ|fbi's domestic investigationsQ|national security agencyQ|natoQ|department'sQ|ap'Q|apQ|kiwiQ|news media policyQ|associated pressQ|operations guideQ|defence forceQ|doj	us-basedQ|afghan
emptywheel	2013-07-29T00:00:00	defence weeklyQ|judge kollar-kotellyQ|samuel l. morisonQ|stephen kimQ|fahd al-qusoQ|colleen kollar-kotelly	jane	u.s. v. morisonQ|ap'sQ|state departmentQ|obama administrationQ|espionageQ|apQ|ap undiebombQ|ξ morison ξQ|espionage act	undiebomb
emptywheel	2013-07-29T00:00:00	pew	iran	section	boston marathon
emptywheel	2013-07-26T00:00:00	levinQ|bradley manningQ|jim gregoryQ|jack goldsmithQ|mark mazzettiQ|carl levinQ|ron wydenQ|richard rosenQ|eugene fidellQ|scott sillimanQ|currierQ|manningQ|kathleen longQ|wydenQ|cora currier	arabian peninsulaQ|icelandQ|the pentagon	lawQ|propublicaQ|duke university schoolQ|yale law schoolQ|defense departmentQ|texas tech university schoolQ|al qaedaQ|usgQ|inherent authorityQ|intelligence committeeQ|see sectionQ|courthouse newsQ|aumfQ|top secretQ|dodQ|nsaaQ|dod special operations forces	haqqaniQ|batesQ|aumf-watcher
emptywheel	2013-07-26T00:00:00	nuri al malikiQ|ali khameneiQ|hassan rouhaniQ|gordonQ|rohaniQ|nuri kamal al-malikiQ|edward snowdenQ|malikiQ|michael gordon	iranQ|russiaQ|ayatollahQ|moscowQ|germanyQ|franceQ|baghdadQ|iraqQ|chinaQ|britain	new york timesQ|p5 +	boston marathonQ|iranianQ|western
emptywheel	2013-07-25T00:00:00	sopkoQ|irene khanQ|john sopkoQ|john kerry	afghanistan	department of state , bureau of international narcotics and law enforcement affairsQ|justice training transition programQ|amnesty internationalQ|paeQ|director generalQ|transitionQ|caciQ|inlQ|state departmentQ|john sopko the special inspector general for afghanistan reconstructionQ|afghanistan justice training transition programQ|international development law organizationQ|sigarQ|idloQ|jttpQ|special inspector general	afghansQ|afghan
emptywheel	2013-07-24T00:00:00	keith alexanderQ|rogersQ|mike rogers	michiganQ|benghaziQ|yemen	nsaQ|attorney generalQ|irsQ|ap' associated pressQ|justice departmentQ|house intelligence chairQ|internal revenue serviceQ|associated pressQ|intelligence committees	apQ|amash-conyersQ|patriot act
emptywheel	2013-07-24T00:00:00	david petraeusQ|moral rectitudeQ|greg millerQ|john brennanQ|brennanQ|miller	maidan wardak provinceQ|latin americaQ|afghanistanQ|vietnamQ|iraq	washington postQ|special operationsQ|ciaQ|cold warQ|us special forces	predatorQ|nerkh
emptywheel	2013-07-23T00:00:00	keith alexanderQ|bob litt	brookings	nsaQ|intelligence communityQ|office of the director of national intelligenceQ|foreign intelligence surveillance courtQ|amash-conyersQ|odniQ|amash amendmentQ|civil liberties oversight boardQ|executive branch	privacyQ|administration
emptywheel	2013-07-23T00:00:00	moalinQ| afterQ|saeed moalin	somalia	adenQ|tfgQ|sectionQ|fisa	somali
emptywheel	2013-07-23T00:00:00	ranking memberQ|keith alexanderQ|keith b. alexanderQ|alexanderQ|dutch ruppersbergerQ|edward snowden	iranQ|top secret	fbiQ|nsaQ|house intelligence committeeQ|intelligence communityQ|national securityQ|amash-conyersQ|foreign intelligence surveillance courtQ| fisa courtQ|u.s. governmentQ|federal bureau of investigationQ|national security agency	defense appropriations'Q|dod appropriations
emptywheel	2013-07-23T00:00:00	ahmad osmaniQ|karzaiQ|patangQ|mujtaba patangQ|martin dempseyQ|hamid karzaiQ|dempsey	kabulQ|afghanistanQ|iraq	washington postQ|security forces and policeQ|defense departmentQ|security forcesQ|new york timesQ|supreme courtQ|nato	afghan
emptywheel	2013-07-23T00:00:00	moalinQ|f. suppQ|rahmanQ|sealed caseQ|saeed moalinQ|edward snowden	kevorkQ|i.a.	section i.a.Q|fbiQ|attorney generalQ|intelligence communityQ|u.s. person agentQ|laraQ|standard minimization proceduresQ|foreign powerQ|fiscQ|interception / monitoringQ|sectionQ|fisa	protect america actQ|section 702
emptywheel	2013-07-20T00:00:00	eblouissanteQ|john shirreffsQ|junior alvaradoQ|rosalind	santa anita parkQ|southern californiaQ|santa anitaQ|saratoga race courseQ|west coastQ|hollywood parkQ|belmont park	betfair hollywood parkQ|nfl hall of fame gameQ|cowboysQ|shuveeQ|zenyattaQ|saratoga downs	year zenyattaQ|lumber shuvee handicapQ|hungarian grand prixQ|frenchQ|spa
emptywheel	2013-07-19T00:00:00	risenQ|james risenQ|jeffrey sterlingQ|leonie brinkema	war	dc circuitQ|news media guidelinesQ|news media policiesQ|nsa'sQ|fourth circuitQ|doj	branzburg'
emptywheel	2013-07-19T00:00:00	mark pennQ|thompsonQ|glyn moodyQ|myersonQ|terry myersonQ|steve ballmerQ|chris sogohianQ|ben thompson	redmond	nsaQ|vergeQ|xbox oneQ|googleQ|ibmQ|now skypeQ|windowsQ|techQ|microsoftQ|national security agencyQ|google financeQ|appleQ|yet ibm	windows 98Q|windows'Q|kinectQ|prism
emptywheel	2013-07-18T00:00:00	denise lindQ|julie tateQ|bradley manningQ|david coombsQ|james rosenQ|lindQ|kevin gosztolaQ|judge lindQ|manningQ|judge denise lindQ|alexis obrienQ|alexisQ|benklerQ|yochai benkler	fort meadeQ|firedoglakeQ|iraq	daily beastQ|washington postQ|harvard law schoolQ|articleQ|fourth estateQ|berkman center for internet and societyQ|iraq war logsQ|the washington postQ|wikileaksQ|new york timesQ| aiding	enemy'Q|internet
emptywheel	2013-07-18T00:00:00	david petraeusQ|joseph votelQ|nasser al-awlakiQ|sarah khanQ|leon panettaQ|barack obamaQ|trayvon martinQ|commanderQ|samir khanQ|william mcravenQ|abdulrahaman al-awlakiQ|abdulrahman'Q|anwar al-awlaki	minnesotaQ|columbiaQ|yemenQ|nebraskaQ|new mexico	special operations commandQ|bill of attainder clauseQ|joint special operations commandQ|fourth and fifth amendmentsQ|new york timesQ|districtQ|abdulrahman al-awlakiQ|center for constitutional rights ξQ|american civil liberties unionQ|ibb university	abdulrahman
emptywheel	2013-07-17T00:00:00	trayvon martinQ|george zimmerman	netroots nation	team emptywheel	zimmerman-martin
emptywheel	2013-07-16T00:00:00	eric lichtblauQ|moalinQ|judge jeffrey millerQ|sean joyceQ|mohamud abdi yusufQ|dratelQ|saeed moalinQ|joshua dratelQ|joyce	somaliaQ|issue	fisa amendments actQ|paaQ|protect america actQ|government's sealed exhibitQ|fisa collectionQ|fiscQ|sectionQ|fisaQ|fbiQ|fisa applications established probable cause'Q|attorney generalQ|house intelligence committeeQ|pen register / trapQ|i. [Q|sealed exhibits	internet
emptywheel	2013-07-16T00:00:00	jonathan landayQ|via twitterQ|mcclatchy	gulfQ|dahiyaQ|qatarQ|lebanonQ|syriaQ|middle east	nsaQ|ciaQ|hezbollahQ|skypeQ|microsoft	qaedaQ|qaidaQ|qatariQ|lebanese
emptywheel	2013-07-15T00:00:00	david petraeusQ|keith alexanderQ|keith b. alexanderQ|jeff merkleyQ|joby warrickQ|jack goldsmithQ|alexanderQ| let	iranQ|stuxnetQ|iraq	terror terror terrorQ|great'sQ|nsaQ|real time regional gatewayQ|ciaQ|national counterterrorism centerQ|national security agency	pentagonQ|wapo
emptywheel	2013-07-14T00:00:00	cobainQ|warsameQ|theresa mayQ|phamQ|minh quang phamQ|ian cobainQ|ahmed warsame	arabian peninsulaQ|ukQ|heathrowQ|westminsterQ|yemen	fbiQ|siacQ|aqapQ|al qaedaQ|us justice departmentQ|crown prosecution serviceQ|inspireQ|administration disposition matrix	vietnamese-bornQ|firearms actQ|britishQ|terrorism actQ|britsQ|english
emptywheel	2013-07-12T00:00:00	chuck schumerQ|chuck toddQ|schumerQ|kellyQ|janet napolitanoQ|ray kelly	nyc	nypdQ|homeland securityQ|department of homeland security secretary	african americanQ|customsQ|chinese
emptywheel	2013-07-12T00:00:00	ed snowdenQ|president maduro	hong kongQ|venezuelaQ|russiaQ|ecuadorQ|latin americaQ|nurembergQ|nicaraguaQ|bolivia	us constitutionQ|articleQ|universal declaration of human rightsQ|unQ|law of nations	north americanQ|western european
emptywheel	2013-07-12T00:00:00	walter pincusQ|edward snowden	south asiaQ|east asiaQ|europeQ|chinaQ|middle east	nsaQ|nytQ|south china morning postQ|wikileaksQ|nsa / booz	guardianQ|chinese
emptywheel	2013-07-12T00:00:00	julie tateQ|bradley manningQ|clifford sloanQ|charlie savageQ|marcyQ|shaker aamerQ|bogdanQ|seton hallQ|barack obamaQ|royce c. lamberthQ|chuck hagelQ|manningQ|judge royce lamberthQ|khalid sheikh mohammedQ|jason leopoldQ|andy worthingtonQ|john bogdanQ|judgeQ|savageQ|rahim al nashiriQ|john v. bogdanQ|hagelQ|lamberth	guantanamo bayQ|guantanamo bayQ|guantanamoQ|guanantamoQ|leavenworthQ|iraqQ|cuba	quanticoQ|defense departmentQ|federal district courtQ|district of columbiaQ|joint detention group commanderQ|new york timesQ|u.s. state department's office of guantanamo closureQ|washington postQ|brig commanderQ|ξ joint task force guantanamo detention groupQ|uss coleQ|msnbcQ|guantanamo's joint detention group	quantico brigQ|icrc
emptywheel	2013-07-11T00:00:00	ali khameneiQ|hassan rohaniQ|rohaniQ|mahmoud ahmadinejad	tehranQ|iranQ|natanzQ|damavandQ|syriaQ|west	state departmentQ|us department of stateQ|justice departmentQ|pmoiQ|national council of resistance of iranQ|reutersQ| people's mujahideen organisation of iranQ|ncriQ|mekQ|supreme leader ayatollah	iraniansQ|iranian
emptywheel	2013-07-11T00:00:00	serinoQ|george zimmermanQ|judge nelsonQ|singletonQ|angela coreyQ|chris serinoQ|mark omaraQ|zimmermanQ|trayvon martinQ|doris singletonQ|debra nelsonQ|martinQ|vincent di maioQ|benjamin crumpQ|olivia bertalanQ|nelsonQ|defendant zimmerman	bradyQ|floridaQ|twin lakes	stand your groundQ|doj civil rights divisionQ|columbia v. hellerQ|stateQ|flrs	retreatQ|second amendment
emptywheel	2013-07-10T00:00:00	manningQ|haydenQ|vaughn walkerQ|bradley manningQ|aldrich amesQ|jim comeyQ|michael haydenQ|robert hanssenQ|edward snowden	chertoff group	nsaQ|cbsQ|espionageQ|obama's insider threatQ|draft nsa ig	rapiscan
emptywheel	2013-07-10T00:00:00	judge royce lamberthQ|eric lichtblauQ|william c. banksQ|jack goldsmithQ|laurence silberman	indianapolisQ|keith	fisa courtQ|fisc court of reviewQ|fourth amendment'Q|fourth amendmentQ|court of reviewQ|syracuse universityQ|fisaQ|supreme court	qaedaQ|re sealed caseQ|patriot act
emptywheel	2013-07-10T00:00:00	karzaiQ|mckeonQ|buck mckeonQ|hamid karzaiQ|jay carneyQ|barack obama	islamic emirateQ|pakistanQ|kabulQ|afghanistanQ|qatarQ|iraq	talibanQ|cbs newsQ|us considers faster pulloutQ|white house press secretaryQ|new york timesQ|house armed services committee	afghansQ|europeanQ|afghan
